IR
102828
102752
102706
102738
102750
102718
102750
102738
102743
102720
102711
102727
102711
102713
102733
102727
102736
102731
102681
102723
102703
102719
102753
102718
102745
102743
102774
102769
102753
102749
102813
102808
102786
102828
102822
102828
102818
102838
102848
102882
102903
102914
102943
102919
102930
102964
102939
102943
102926
102930
102911
102914
102893
102883
102862
102865
102889
102885
102902
102917
102913
102947
102959
102972
102937
102906
102908
102876
102821
102854
102806
102804
102792
102797
102836
102830
102862
102886
102904
102887
102914
102925
102908
102946
102950
102946
102954
102965
102958
102941
102953
103026
102994
102993
102965
102962
102989
102938
102885
102901
102865
102794
102814
102759
102743
102764
102772
102728
102778
102764
102759
102778
102791
102795
102764
102779
102751
102782
102726
102723
102741
102698
102721
102712
102698
102731
102768
102731
102771
102781
102766
102811
102809
102790
102820
102808
102764
102800
102809
102809
102777
102803
102599
102590
102581
102540
102562
102527
102487
102515
102496
102506
102498
102504
102506
102504
102528
102552
102546
102576
102584
102583
102592
102605
102604
102635
102612
102623
102656
102588
102605
102630
102601
102616
102619
102609
102644
102624
102617
102619
102607
102635
102630
102634
102634
102633
102620
102654
102647
102625
102647
102659
102636
102654
102672
102643
102634
102692
102688
102696
102697
102725
102687
102721
102744
102696
102721
102770
102725
102724
102776
102745
102760
102813
102802
102781
102800
102811
102811
102808
102839
102819
102787
102809
102793
102760
102753
102741
102698
102732
102673
102656
102642
102602
102569
102569
102569
102545
102552
102557
102544
102566
102598
102591
102607
102626
102633
102674
102661
102699
102667
102677
102727
102681
102691
102767
102732
102750
102772
102772
102813
102831
102802
102850
102844
102860
102810
102806
102812
102766
102774
102744
102716
102727
102737
102734
102761
102741
102739
102751
102732
102741
102753
102781
102803
102793
102803
102837
102830
102822
102862
102839
102874
102850
102843
102878
102844
102860
102887
102881
102871
102876
102851
102888
102889
102875
102897
102920
102913
102943
102934
102911
102931
102923
102909
102900
102889
102847
102832
102784
102799
102796
102706
102725
102694
102679
102646
102658
102626
102682
102671
102715
102725
102778
102806
102835
102842
102852
102905
102906
102924
102923
102958
102963
102979
103019
103046
103047
103034
103065
103075
103085
103078
103088
103066
103076
103080
103053
103098
103100
103092
103116
103110
103124
103121
103129
103138
103157
103164
103150
103183
103146
103160
103154
103163
103182
103177
103197
103206
103207
103223
103256
103268
103281
103285
103291
103312
103332
103316
103358
103367
103341
103400
103371
103352
103402
103384
103376
103399
103420
103375
103414
103427
103410
103412
103425
103432
103415
103441
103434
103396
103374
103372
103364
103314
103307
103278
103220
103225
103239
103196
103221
103241
103237
103292
103270
103286
103327
103371
103348
103381
103414
103429
103411
103439
103451
103452
103484
103504
103512
103547
103553
103538
103538
103561
103587
103571
103580
103605
103578
103608
103578
103586
103635
103621
103619
103637
103630
103650
103634
103668
103681
103664
103663
103711
103666
103674
103681
103697
103707
103736
103728
103727
103746
103753
103771
103796
103822
103769
103818
103788
103794
103852
103837
103827
103829
103799
103881
103828
103868
103837
103824
103897
103852
103845
103875
103907
103873
103861
103898
103866
103838
103859
103869
103812
103872
103879
103806
103808
103849
103790
103784
103797
103834
103780
103811
103822
103797
103805
103839
103872
103885
103925
103916
103952
103931
103943
103956
103972
103981
103990
103978
103976
104013
104032
104036
104033
104080
104053
104073
104047
104043
104092
104053
104055
104115
104076
104074
104107
104081
104092
104064
104093
104108
104115
104100
104133
104136
104118
104124
104106
104123
104108
104153
104155
104136
104144
104159
104131
104121
104170
104145
104141
104162
104140
104186
104192
104225
104195
104218
104230
104199
104204
104165
104161
104141
104120
104114
104092
104040
104056
104029
104006
104023
104011
104027
104039
104054
104058
104091
104085
104083
104121
104161
104172
104198
104189
104205
104249
104243
104227
104263
104273
104254
104291
104292
104271
104292
104282
104276
104274
104283
104304
104316
104302
104328
104299
104321
104322
104288
104289
104327
104335
104332
104338
104324
104333
104346
104362
104346
104363
104348
104362
104359
104351
104341
104372
104363
104317
104331
104380
104363
104351
104382
104405
104356
104388
104407
104378
104431
104413
104452
104445
104439
104426
104457
104436
104469
104487
104466
104454
104440
104444
104413
104402
104406
104389
104381
104329
104336
104331
104272
104234
104271
104213
104207
104220
104187
104170
104206
104216
104196
104257
104246
104232
104295
104273
104281
104286
104317
104299
104314
104317
104307
104323
104343
104354
104357
104368
104368
104336
104378
104384
104352
104379
104381
104379
104379
104366
104424
104402
104398
104426
104419
104429
104432
104404
104398
104395
104403
104411
104412
104391
104407
104417
104386
104420
104450
104407
104451
104470
104452
104490
104486
104466
104507
104483
104484
104469
104470
104505
104462
104449
104435
104488
104443
104450
104474
104437
104445
104470
104422
104423
104477
104425
104429
104415
104399
104401
104376
104339
104342
104312
104305
104289
104263
104276
104256
104277
104285
104265
104276
104276
104268
104286
104298
104304
104355
104323
104357
104360
104361
104348
104358
104353
104359
104373
104348
104351
104340
104378
104355
104349
104381
104354
104330
104340
104344
104322
104309
104319
104331
104333
104325
104297
104333
104276
104354
104340
104314
104321
104301
104316
104305
104318
104340
104334
104321
104336
104340
104341
104383
104348
104358
104370
104366
104366
104393
104380
104370
104380
104363
104392
104375
104330
104372
104354
104355
104381
104353
104350
104380
104355
104368
104379
104354
